batch_size,vram_base,vram,vram_15bit,vram_ckpt,avg_time_base,avg_time_dn,avg_time,avg_time_15bit
16000,12346.4892578125,7269.60986328125,7202.44970703125,8240.9892578125,1860.6735939974897,1810.8744960045442,1840.414451988181,2167.0303500141017
16000,12346.4892578125,7269.60986328125,7202.44970703125,8240.9892578125,1850.2550705161411,1823.7987679895014,1843.0838694912381,2177.183847496053
16000,12346.4892578125,7269.60986328125,7202.44970703125,8240.9892578125,1838.4700934984721,1821.841739496449,1844.4198124925606,2224.4231484946795
16000,12346.4892578125,7269.60986328125,7202.44970703125,8240.9892578125,1836.7822105064988,1844.713481987128,1839.0075544884894,2183.0654034856707
16000,12346.4892578125,7269.60986328125,7202.44970703125,8240.9892578125,1833.2161450234707,1823.986078496091,1843.776967987651,2184.522752999328
16000,12346.4892578125,7269.60986328125,7202.44970703125,8240.9892578125,1827.9880529929262,1814.3639746704139,1830.8611206787948,2174.001634334369
16000,12346.4892578125,7269.60986328125,7202.44970703125,8240.9892578125,1828.5841386726436,1823.407525002646,1841.1252310033888,2188.0442406788156
16000,12346.4892578125,7269.60986328125,7202.44970703125,8240.9892578125,1833.6481543374248,1825.5071776608627,1841.257012002946,2179.6973690118953
16000,12346.4892578125,7269.60986328125,7202.44970703125,8240.9892578125,1844.8396873427555,1823.809124995023,1841.006513335742,2180.9544253434674
16000,12346.4892578125,7269.60986328125,7202.44970703125,8240.9892578125,1845.229265668119,1822.3470460119036,1842.600440334839,2184.241016007339
16000,12346.4892578125,8806.48193359375,8638.13232421875,8240.9892578125,1835.0378573328878,1831.6470713277038,1861.8225546670146,2181.11706567773
16000,12346.4892578125,8805.49755859375,8637.14794921875,8240.9892578125,1838.3473106853974,1832.2091583395377,1861.1559460017208,2188.0280056696697
16000,12346.4892578125,8805.49755859375,8637.14794921875,8240.9892578125,1838.5089903410214,1829.499551677145,1864.5545470062643,2183.111894662337
16000,12346.4892578125,8805.49755859375,8637.14794921875,8240.9892578125,1851.5137250069529,1830.8756650076248,1863.1525356710579,2182.8931240015663
16000,12346.4892578125,8805.49755859375,8637.14794921875,8240.9892578125,1851.8235046649352,1834.2935559921898,1863.2363366778009,2182.1005810052156
16000,12346.4892578125,7269.60986328125,7202.44970703125,8240.9892578125,1861.706900332744,1816.569901323722,1838.841749005951,2165.847863012459
1000,3558.9072265625,3261.71435546875,3250.748046875,3138.9072265625,124.52126566010217,123.08682767131056,127.74560501566157,147.73971333246058
1000,3558.9072265625,3261.71435546875,3250.748046875,3138.9072265625,124.10518666729331,123.65136301377788,124.95357199804857,147.78046866801256
1000,3558.9072265625,3261.71435546875,3250.748046875,3138.9072265625,124.33693798569341,122.11549499382575,127.6580736739561,147.7276596512335
1000,3558.9072265625,3261.71435546875,3250.748046875,3138.9072265625,124.30423866802205,122.12493598538761,125.81520166713744,147.73589733522385
1000,3558.9072265625,3261.71435546875,3250.748046875,3138.9072265625,124.35867633515348,128.4381163228924,130.21358900004998,147.76413868336627
8,3044.3330078125,2876.48046875,2876.390625,2874.3642578125,11.431164011203995,11.197326995898038,11.639417672995478,12.733096004618952
8,3044.3330078125,2876.48046875,2876.390625,2874.3642578125,10.794766344285259,11.016336677130312,11.384097665237883,14.776552328839898
8,3044.3330078125,2876.48046875,2876.390625,2874.3642578125,10.809553321450949,11.074513662606478,12.35781901050359,15.772783992967257
8,3044.3330078125,2876.48046875,2876.390625,2874.3642578125,10.833586663162956,11.903954999676595,12.289785663597286,16.47850199757765
8,3044.3330078125,2876.48046875,2876.390625,2874.3642578125,10.823010001331568,11.892541660927236,12.257252004928887,15.868110989686102
8,3044.3330078125,2875.6015625,2875.56640625,2874.3642578125,10.905903667056313,12.33132266982769,13.33742767261962,12.691353001476577
