method,vram,avg_time
LZ4,9915.82568359375,2664.3344220065046
LZ4,9915.82568359375,2688.772653491469
LZ4,9915.82568359375,2663.076890486991
LZ4,9915.82568359375,2680.3532960184384
LZ4,9915.82568359375,2661.7903980077244
Zstd,9145.36767578125,3673.279167007422
Zstd,9145.36767578125,3685.5346839874983
Zstd,9145.36767578125,3684.267126984196
Zstd,9145.36767578125,3674.837311002193
Zstd,9145.36767578125,3667.9230890003964
Cascaded,10862.05322265625,1929.0313475066796
Cascaded,10860.86279296875,1928.1341884925496
Cascaded,10862.05322265625,1928.5964950104244
Cascaded,10860.86279296875,1944.7928624867927
Cascaded,10862.05322265625,1928.246057999786
Bitcomp,11645.46533203125,1898.3916899887845
Bitcomp,11646.46533203125,1897.8863575030118
Bitcomp,11645.46533203125,1898.287698510103
Bitcomp,11646.46533203125,1915.3493744961452
Bitcomp,11645.46533203125,1897.8901660011616
method,vram,avg_time
LZ4,11085.78173828125,3349.36590900179
LZ4,11084.48828125,3376.790219481336
LZ4,11084.78173828125,3353.716712008463
LZ4,11084.78173828125,3344.5182309951633
LZ4,11084.78173828125,3360.3942960035056
Zstd,10064.220703125,4765.950813016389
Zstd,10064.220703125,4768.2430215063505
Zstd,10064.220703125,4752.746171492618
Zstd,10064.220703125,4760.056812985567
Zstd,10064.220703125,4754.753455519676
Cascaded,12207.203125,1932.5110004865564
Cascaded,12207.203125,1945.8968614926562
Cascaded,12207.203125,1933.3208310126793
Cascaded,12207.203125,1932.866182003636
Cascaded,12207.203125,1950.6532159866765
Bitcomp,12285.25,1879.5527589973062
Bitcomp,12285.25,1885.7157875027042
Bitcomp,12285.25,1879.1991310135927
Bitcomp,12285.25,1883.327031508088
Bitcomp,12285.25,1910.6420030002482
method,vram,avg_time
