method,vram,avg_time
method,vram,avg_time
LZ4,10721.1083984375,3334.5534125110134
LZ4,10720.1083984375,3348.3378435194027
LZ4,10720.1083984375,3357.7060629904736
LZ4,10720.1083984375,3334.7404450178146
LZ4,10720.1083984375,3341.134658519877
Zstd,9706.8427734375,4750.154152017785
Zstd,9706.8427734375,4744.6106459829025
Zstd,9706.8427734375,4732.172370480839
Zstd,9706.8427734375,4740.057766990503
Zstd,9706.8427734375,4730.837524984963
Cascaded,11826.65283203125,1926.3442615047097
Cascaded,11826.65283203125,1942.480958008673
Cascaded,11826.65283203125,1922.4483130092267
Cascaded,11826.65283203125,1922.4177289870568
Cascaded,11826.65283203125,1940.7280680024996
Bitcomp,11945.82568359375,1872.8473490045872
Bitcomp,11945.82568359375,1876.6304944874719
Bitcomp,11945.82568359375,1868.2475889800116
Bitcomp,11945.82568359375,1868.5127309872769
Bitcomp,11945.82568359375,1890.5049650056753
method,vram,avg_time
LZ4,9203.08935546875,2474.2882364953402
LZ4,9203.08935546875,2502.047415007837
LZ4,9203.08935546875,2476.832637010375
LZ4,9203.08935546875,2511.461040005088
LZ4,9203.08935546875,2481.1917839979287
Zstd,8532.26513671875,3404.163436003728
Zstd,8531.26513671875,3379.850234981859
Zstd,8530.3505859375,3365.421594993677
Zstd,8531.7861328125,3403.6174244829454
Zstd,8531.7861328125,3413.146591017721
Cascaded,9925.20068359375,1868.961358006345
Cascaded,9925.20068359375,1869.9206105084158
Cascaded,9925.20068359375,1896.3085750001483
Cascaded,9925.20068359375,1868.8336045015603
Cascaded,9925.20068359375,1880.767256981926
Bitcomp,10773.22265625,1850.520036998205
Bitcomp,10773.22265625,1860.773722990416
Bitcomp,10773.22265625,1878.1912755221128
Bitcomp,10773.22265625,1861.8321054964326
Bitcomp,10773.22265625,1861.4908335148357
