num_tokens,vram,time
50,16652.384765625,110.1409794006031
100,16813.28369140625,119.76757689844817
200,17135.109375,219.8483109998051
300,17456.9345703125,342.1812549990136
400,17778.76025390625,389.76977029815316
500,18100.5712890625,419.961292098742
700,18744.22216796875,601.2829274986871
900,19481.85400390625,789.8956750985235
1100,20373.91650390625,889.3720708030742
1300,21266.0166015625,1057.0196429034695
1500,22158.0791015625,1167.6088606007397
num_tokens,vram,time
50,16659.94482421875,115.19235520390794
100,16828.208984375,117.35003350186162
200,17164.73291015625,203.20108190062456
300,17497.35595703125,318.7354863039218
400,17833.63525390625,369.0966413996648
500,18166.55712890625,392.2615244984627
700,18835.88525390625,557.3259668017272
900,19603.29150390625,732.5259400007781
1100,20521.89453125,828.6837409017608
1300,21439.81103515625,979.9649650987703
1500,22357.419921875,1074.5233530993573
num_tokens,vram,time
50,16660.1826171875,112.55698059685528
100,16828.6728515625,116.474128596019
200,17165.6484375,201.53449419885874
300,17498.72509765625,321.7405197035987
400,17835.4404296875,371.8220966984518
500,18168.837890625,396.4297476981301
700,18839.08544921875,551.1438000015914
900,19607.4169921875,735.8406046987511
1100,20526.99609375,830.343906302005
1300,21445.8408203125,982.461001095362
1500,22364.357421875,1079.0413983049802
num_tokens,vram,time
50,16750.822265625,99.50309300329536
100,17010.15869140625,110.06745419581421
200,17528.859375,199.88085269578733
300,18047.5595703125,319.2865446966607
400,18566.26025390625,361.9552855961956
500,19084.9462890625,390.2978155994788
700,20122.34716796875,550.5062106007244
900,21253.72900390625,733.7540235021152
1100,22539.54150390625,828.450852696551
num_tokens,vram,time
50,16652.384765625,120.92716909828596
100,16813.28369140625,121.28298730240203
200,17135.109375,221.01950090145692
300,17456.9345703125,340.819388901582
400,17778.76025390625,394.0685059991665
500,18100.5712890625,425.2564148977399
700,18744.22216796875,601.7326067958493
900,19481.85400390625,803.5484906984493
1100,20373.91650390625,903.3627940982115
1300,21266.0166015625,1074.2134606000036
1500,22158.0791015625,1177.192918799119
num_tokens,vram,time
50,16659.94482421875,113.61206760047935
100,16828.208984375,117.01953929732554
200,17164.73291015625,202.63932700036094
300,17497.35595703125,317.03636790043674
400,17833.63525390625,362.37141079618596
500,18166.55712890625,397.17137190164067
700,18835.88525390625,552.5433411006816
900,19603.29150390625,732.4251239944715
1100,20521.89453125,829.6305414987728
1300,21439.81103515625,982.6111377973575
1500,22357.419921875,1085.0920561002567
